Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Grundy, John; ",Visual specification and monitoring of software agents in decentralized process-centred environments,International Journal of Software Engineering and Knowledge Engineering,9,04,425-444,1999,World Scientific Publishing Company
"Grundy, John C.; Bai, Jun; Blackham, John; Hosking, John G.; Amor, Robert; Parnell, Auckland; Zealand, New; ","An architecture for efficient, flexible enterprise system integration",2003 International Conference on Internet Computing (IC 2003),,,23-26,2003,
"Mehra, Akhil; Grundy, JC; Hosking, JG; ","Adding group awareness to design tools using a plug-in, web service-based approach","Sixth International Workshop on Collaborative Editing Systems, CSCW 2004",,,,2004,ACM
"Plimmer, Beryl; Grundy, John; Hosking, John; Priest, Richard; ",Inking in the IDE: Experiences with Pen-based Design and Annotatio,2006 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2006),,,111-115,2006,IEEE
"Grundy, John C.; ",An implementation architecture for aspect-oriented component engineering,5th International Conference on Parallel and Distributed Processing Techniques and Applications: Special Session on Aspect-oriented Programming,,,,2000,
"Kim, Chul Hwee; Hosking, John; Grundy, John; ",A suite of visual languages for statistical survey specification,2005 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2005),,,19-26,2005,IEEE
"Almorsy, Mohamed; Grundy, John; Müller, Ingo; ",An analysis of the cloud computing security problem,"2010 Asia Pacific Cloud Workshop, Colocated with APSEC2010, Australia",,,,2010,
"Salleh, Norsaremah; Mendes, Emilia; Grundy, John; Burch, Giles St J; ",An empirical study of the effects of conscientiousness in pair programming using the five-factor personality model,32nd ACM/IEEE International Conference on Software Engineering (ICSE 2010),,,577-586,2010,ACM
"Blackham, John; Grundeman, Peter; Grundy, JC; Hosking, JG; Mugridge, WB; ",Supporting Pervasive Business via Virtual Database Aggregation,Evolve 2001,,,15-16,2001,
"Grundy, John; Hosking, John; ",Developing software components with aspects: Some issues and experiences,Chapter 25 in Aspect-Oriented Software Development,,,585-604,2004,
"Grundy, John; Hosking, John; Mugridge, Rick; ",Experiences in using java on a software tool integration project,1998 International Conference Software Engineering: Education & Practice (SEEP 1998),,,286-293,1998,IEEE
